試合日時,Season,Kind,後攻チーム,先攻チーム,プレイの番号,回,表.裏,先攻得点,後攻得点,S,B,アウト,打席の継続,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦2,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果2,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,プレス,偽走,打者位置,打席Id,打席結果,Result_col,打者登録名,打者番号,一走登録名,一走番号,二走登録名,二走番号,三走登録名,三走番号,投手番号,入力項目,先攻打順,後攻打順,URL,start_tag_sec,target_x,target_z,守備チーム,score,comment
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,1,1,表,0,0,0,0,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,坂野光輝,右,0,0,0,前田大輝,右,1,田代旭,0,0,0,継続,投球,19,235.385,23.0125,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,132,0,0,4,,0,0,0,1,0,0,0,0,0,0,62,0,1,0:00,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,0 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,2,1,表,0,0,0,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,坂野光輝,右,0,0,0,前田大輝,右,2,田代旭,0,0,0,継続,投球,19,84.16,145.3075,スライダー,見逃し,0,0,0,0,0,0,0,0,0,0,117,0,0,4,,0,0,0,1,0,0,0,0,0,0,62,0,1,0:11,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,11 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,3,1,表,0,0,1,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,坂野光輝,右,0,0,0,前田大輝,右,3,田代旭,0,0,0,継続,投球,19,157.1425,225.5225,カット,ボール,0,0,0,0,0,0,0,0,0,0,125,0,0,4,,0,0,0,1,0,0,0,0,0,0,62,0,1,0:18,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,18 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,4,1,表,0,0,1,2,0,打席完了,イニング継続,試合継続,0,0,0,0,0,0,1,坂野光輝,右,0,0,0,前田大輝,右,4,田代旭,0,0,0,アウト,投球,19,155.8275,112.4325,ストレート,凡打死,0,8,フライ,B,146.8052257,54.97387173,0,0,0,0,133,0,0,4,,8フライ,0,0,1,0,0,0,0,0,0,62,0,1,0:27,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,27 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,5,1,表,0,0,0,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,小木曽叶,右,0,0,0,前田大輝,右,5,田代旭,0,0,0,継続,投球,19,166.3475,151.8825,カーブ,見逃し,0,0,0,0,0,0,0,0,0,0,105,0,0,9,,0,0,0,3,0,0,0,0,0,0,62,0,2,1:01,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,61 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,6,1,表,0,0,1,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,小木曽叶,右,0,0,0,前田大輝,右,6,田代旭,0,0,0,継続,投球,19,145.3075,30.245,カット,ボール,0,0,0,0,0,0,0,0,0,0,121,0,0,9,,0,0,0,3,0,0,0,0,0,0,62,0,2,1:11,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,71 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,7,1,表,0,0,1,1,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,小木曽叶,右,0,0,0,前田大輝,右,7,田代旭,0,0,0,継続,投球,19,180.8125,228.81,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,136,0,0,9,,0,0,0,3,0,0,0,0,0,0,62,0,2,1:25,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,85 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,8,1,表,0,0,1,2,1,打席完了,イニング継続,試合継続,0,0,0,0,0,0,2,小木曽叶,右,0,0,0,前田大輝,右,8,田代旭,0,0,0,アウト,投球,19,154.5125,161.745,スライダー,凡打死,0,9,フライ,C,182.4133017,96.20427553,0,0,0,0,120,0,0,9,,9フライ,0,0,3,0,0,0,0,0,0,62,0,2,1:36,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,96 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,9,1,表,0,0,0,0,2,打席継続,イニング継続,試合継続,0,0,0,0,0,0,3,家入丞,左,0,0,0,前田大輝,右,9,田代旭,0,0,0,継続,投球,18,45.3675,17.7525,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,135,0,0,3,,0,0,0,4,0,0,0,0,0,0,62,0,3,2:04,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,124 ,,,筑波大学,-,-
2025/8/19,夏季,オープン戦,筑波大学,名古屋学院大学,10,1,表,0,0,0,1,2,打席継続,イニング継続,試合継続,0,0,0,0,0,0,3,家入丞,左,0,0,0,前田大輝,右,10,田代旭,0,0,0,継続,投球,18,78.2425,150.5675,スライダー,見逃し,0,0,0,0,0,0,0,0,0,0,121,0,0,3,,0,0,0,4,0,0,0,0,0,0,62,0,3,2:13,https://www.youtube.com/embed/L1uDLO2-h24?si=1q4-cCwgz1SZU8r0,133 ,,,筑波大学,-,-
